Numéro notice,Titre,Mentions de responsabilité,Titre propre de la collection,Éditeur,Date,DateDébut,DateFin,Date d'autorisation,Édition,Format,ISBN/ISSN,Notes,Langue,Lieu,Cycle,Niveau,Discipline
00004178,"Les premiers enfants de Ville-Marie, 1642-1658","CIMICHELLA, A.-M.",Nos grandes figures ; 10,Éditions Jésus-Marie et Notre Temps,1979,1979-01-01,1979-12-31,,,17 cm: 14 p.,,,Français,"Montréal, QC",,,
00004179,L'Histoire de France racontée à Juliette,"DUCHÉ, Jean",Toute la ville en parle,Amiot Dumont,1954,1954-01-01,1954-12-31,,Éd. revue et augm.,21 cm: 430 p.,,,Français,"Paris, FR",,,
00004180,Histoire des Chevaliers de Rhodes : depuis la création de l'ordre à Jérusalem jusqu'à sa capitulation à Rhodes,"FLANDIN, Eugène",,Alfred Mame et Fils,1867,1867-01-01,1867-12-31,,Deuxième éd.,"27 cm: 336 p., ill.",,Comprend une liste chronologique des grands maîtres de l'ordre de Saint-Jean de Jérusalem. -- Comprend des notes en bas de page,Français,"Tours, FR",,,
00004181,Histoire des Acadiens : [vol.] I,"RUMILLY, Robert",,R. Rumilly,[1955?],1955-01-01,1955-12-31,,,20 cm: 548 p.,,Comprend des notes en bas de page,Français,"Montréal, QC",,,
00004182,Histoire du Canada,"RUMILLY, Robert",,La Clé d'Or,[1951?],1951-01-01,1951-12-31,,,18 cm: 592 p.,,,Français,"Paris, FR",,,
00004183,Cours de botanique et de biologie végétale à l'usage des candidats au P.C.N. : tome I,"PLANTEFOL, L.",,Librairie classique Eugène Belin,1930,1930-01-01,1930-12-31,,,"18 cm: x, 596 p., ill.",,,Français,"Paris, FR",,,
00004184,"French-English Science Dictionary for Students in Agricultural, Biological and Physical Sciences","DE VRIES, Louis",,McGraw-Hill Book Company Inc.,1940,1940-01-01,1940-12-31,,"First Ed., 2nd Impression","18 cm: viii, 546 p.",,Comprend une liste d'abbréviations,Anglais|Français,"New York, NY",,,
00004185,Le Style Roman,"BRÉHIER, Louis","Arts, Styles et Techniques",Librairie Larousse,1942,1942-01-01,1942-12-31,,,"17 cm: 125 p., ill.",,"La p. t. porte en outre : ""48 planches hors texte en héliogravure"". -- Comprend un glossaire archéologique, des notices biographiques, un index topographique et une table des planches",Français,"Paris, FR",Secondaire,Supérieur,
00004186,Livret des fidèles,,,Éditions de la Commission de Liturgie de Montréal; Éditions Tardy,1966,1966-01-01,1966-12-31,,Nouv. éd.,16 cm: 383 p.,,"La p. t. porte en outre : ""Nouvelle édition approuvée par la Commission Épiscopale de Liturgie du Canada et par l'Assemblée Épiscopale de la Province civile de Québec"". -- Comprend plusieurs tables à la fin du document",Français,"Montréal, QC",,,
00004187,Manuel de droit,"DANSEREAU, Dollard|MONTPETIT, Édouard",,Beauchemin,1942,1942-01-01,1942-12-31,,,21 cn: 198 p.,,Comprend un lexique et les réponses et solutions à la fin du document,Français,"Montréal, QC",Secondaire,Supérieur,
00004188,La psychologie des filles pour l'instruction des garçons,"DEFRANCE, Marie-Madeleine",,Éditions Familiales de France,1950,1950-01-01,1950-12-31,,,18 cm: 77 p.,,"La p. t. porte en outre : ""Les livres du jeune homme""",Français,"Paris, FR",,,
00004189,Adam Bede: vol. 1,"ELIOT, George",George Eliot's Works,Thomas Nelson & Sons Ltd.,1906,1906-01-01,1906-12-31,,,"16 cm: 817 p., ill.",,,Anglais,"New York, NY",,,
00004190,"Manuel pratique de la dissertation française : conseils, modèles, plans, matériaux et sujets (1000)","PECQUEUR, O.",,Librairie classique de Ad. Wesmaell-Charlier,1902,1902-01-01,1902-12-31,,2e éd.,20 cm: 359 p.,,"La p. t. porte en outre : ""A l'usage des Athénées, des Collèges, des Écoles normales et des Écoles moyennes"". -- Comprend des notes en bas de page",Français,"Namur, BE",Secondaire,Supérieur,
00004191,Notes méthodologiques sur l'enseignement du français,"LAURENCE, J. M.",,Centre de psychologie et de pédagogie,[1945?],1945-01-01,1945-12-31,,2e éd.,19 cm: 148 p.,,,Français,"Montréal, QC",,,
00004192,Orthographe française : premier livre : troisième année,,,"Minister of Education, Ontario",[1994?],1994-01-01,1994-12-31,,,25 cm: 18 p.,,"La p. t. porte en outre : ""For tentative use in 1947-48 in schools attended by french-speaking pupils""",Français,Ontario,Primaire,3e année,
00004193,Mon orthographe : deuxième année,,,Ginn and Company,1951,1951-01-01,1951-12-31,,Éditions provisoire,25 cm: 20 p.,,,Français,"Toronto, ON",Primaire,2e année,
00004194,"Exercices d'analyse des mots et des propositions : 1,000 phrases sur les notions fondamentales","CLAUDE, Charles-Émile",,Éditions pédagogiques de l'école normale secondaire,1950,1950-01-01,1950-12-31,,,25 cm: 79 p.,,,Français,"Montréal, QC",Primaire|Intermédiaire|Secondaire,6e à 9e année,
00004195,Key to Current French,"ST. JOHN, Helen B.|JONES, Russell J.|STICKLAND, William A.",,The Copp Clark Company Ltd.,[1961?],1961-01-01,1961-12-31,,,23 cm: 87 p.,,,Anglais|Français,"Vancouver, C-B",Intermédiaire,Intermédiaire,
00004196,New Latin Grammar,"BENNETT, Charles E. ",,Allyn and Bacon inc.,1950,1950-01-01,1950-12-31,,,19 cm: 287 p.,,Comprend des index et des notes en bas de page,Anglais,"Boston, MA",,,
00004197,School Management,,Ontario Teachers' Manuals,The Ryerson Press,1931,1931-01-01,1931-12-31,,,20 cm: 296 p.,,Comprend un appendice,Anglais,"Toronto, ON",,,
00004198,Distribution mensuelle des sujets : au programme des écoles séparées d'Ontario,,,s.n.,1947,1947-01-01,1947-12-31,,,23 cm: 56 p.,,,Français,"Ottawa, ON",Primaire|Intermédiaire,1ère à 8e année,
00004199,Manuel d'hygiène de bienséance de civisme : pour les classes de 2e à 9e année,,,Librairie J.-A. Parent,1941,1941-01-01,1941-12-31,,,22 cm: 96 p.,,"La p. t. porte en outre : ""Ouvrage approuvé par le Comité catholique du Conseil de l'instruction publique""",Français,"Montréal, QC",Primaire|Intermédiaire|Secondaire,2e à 9e année,
00004200,Our Latin Heritage: book II,"BRESLOVE, D.|HOOPER, Arthur G.|HAMBLY, May S.",,The Copp Clark Company Ltd.,[1964?],1964-01-01,1964-12-31,,,"24 cm: 225 p., ill. et cartes",,Comprend un index et un lexique,Anglais|Latin,"Vancouver, C-B",,,
00004201,High School Typewriting: part I,"ROSZELL, M. C.|HEWITT, B. H.",Rational Typewriting Series,The Gregg Publishing Company,1943,1943-01-01,1943-12-31,,Third Ed.,"28 cm: 33 p., ill.",,"La couv. porte en outre : ""High frequency word and movement pattern"" et ""The Common Word Approach combined with the Rational System, as used with outstanding results in Collegiate, High School, and Vocational School Classes"". --  La p. t. porte en outre : ""Approved and recommended by the Department of Education, Ontario""",Anglais,"Toronto, ON",Secondaire|Universitaire et Collégial,Secondaire; collégiale,
00004202,"Atlas-Géographie : étude physique, politique, économique du Canada et de la province de Québec : avec des notions générales sur les cinq parties du monde : cours moyen",Frères Maristes,Collection publiée pour l'enseignement primaire et secondaire. L'École canadienne,Librairie Granger frères ltée.,1937,1937-01-01,1937-12-31,,,"22 cm: 66 p., ill. et cartes (certaines en coul.)",,"La p. t. porte en outre : ""Approuvé par le Comité Catholique du Conseil de l'instruction publique le 2 mai 1923"". et ""Adopté par la Commission scolaire de Montréal""",Français,"Montréal, QC",Primaire,3e et 4e année,
