Numéro notice,Titre,Mentions de responsabilité,Titre propre de la collection,Éditeur,Date,DateDébut,DateFin,Date d'autorisation,Édition,Format,ISBN/ISSN,Notes,Langue,Lieu,Cycle,Niveau,Discipline
00000001,La Route Champlain = The Champlain route,,,Le Droit,1953,1953-01-01,1953-12-31,,,"38 cm: 152 p., ill.",,Textes juxtalinéaires en français et anglais. -- Comprend un index,Anglais|Français,"Ottawa, ON",,,
00000002,Atlas général Holt,"DE VARENNES, Jean|LAVALLÉE, Jean",,"Holt, Rinehart and Winston Limited",[1970?],1970-01-01,1970-12-31,,,"32 cm: v, 158 p., cartes en coul.",,Comprend un index,Français,"Montréal, QC|Toronto, ON",,,
00000003,Géographie universelle : pour garçons et filles,"WERNER, E.-J.|DE WITT, C.",Un grand livre d'or,Deux coqs d'or,[1952?],1952-01-01,1952-12-31,,,"31 cm: 93 p., ill. en coul.",,,Français,"Paris, FR",,,
00000004,Géographie,"BROUILLETTE, Benoit|DAGENAIS, Pierre|FACUHER, Jean-Charles",Pierre Dagenais,Centre de psychologie et de pédagogie,[1941?],1941-01-01,1941-12-31,1960-02-24,,"25 cm: 166 p., ill., graph. et cartes en coul",,,Français,"Montréal, QC",Primaire|Intermédiaire,6e et 7e année,
00000005,Les Continents du sud,"CLEE, David|JONES, David|MARLEAU, C.",,Éditions H.R.W. ltée.,[1977?],1977-01-01,1977-12-31,,,"25 cm: iv, 252 p., ill., graph. et cartes en coul.",ISBN 0-03-929340-8,Trad. de : Introducing the Southern Continents. -- Comprend un index,Français,"Montréal, QC",,,
00000006,Mon milieu et ma région,"CYR, Hervé","Mon univers ; 1 ; ""Je fais ma géographie""",Éditions des frères Maristes,[1976?],1976-01-01,1976-12-31,,Nouv. éd. ; éd. ontarienne de la collection,"26 cm: 55 p., ill., graph. et cartes en coul.",ISBN 0-88519-132-3,Titre de la collection de l'édition ontarienne : Je fais ma géographie. -- Comprend un lexique,Français,"Laval, QC",Primaire,4e année,
00000007,Ma région et ma province,"CYR, Hervé","Mon univers ; 2 ; ""Je fais ma géographie""",Éditions des frères Maristes,[1976?],1976-01-01,1976-12-31,,Nouv. éd.,"26 cm: 111 p., ill., graph. et cartes en coul.",,Titre de la collection de l'édition ontarienne : Je fais ma géographie. -- Comprend un lexique et une partition. -- ISBN 0-88519-133-1,Français,"Laval, QC",Primaire,5e année,
00000008,Ma province et mon pays,"CYR, Hervé","Mon univers ; 3 ; ""Je fais ma géographie""",Éditions des frères Maristes,[1976?],1976-01-01,1976-12-31,,Nouv. éd.,"26 cm: 125 p., ill., graph. et cartes en coul.",ISBN 0-88519-134-X,Titre de la collection de l'édition ontarienne : Je fais ma géographie. -- Comprend un lexique,Français,"Laval, QC",Primaire,6e année,
00000009,L'ABC de la géographie : guide du maître,"DAGENAIS, Pierre",L'ABC de la géographie,Beauchemin,1947,1947-01-01,1947-12-31,1947-05-07,,23 cm: 79 p.,,,Français,"Montréal, QC",Primaire,1ère année,
00000010,Géographie générale : l'Afrique,"DUPÂQUIER, J.|REBOTIER, M.|GUIOT, P.",Nouvelle collection Maurice Le Lannou,Bordas,[1969?],1969-01-01,1969-12-31,,,"23 cm: 256 p., ill., graph. et cartes en coul.",,Également sur la couv. : classe de 6e,Français,France,Système français,6e année (France),
00000011,Géographie,"GAY, F.-J.|JOURNEAUX, A.",André Journaux,Hatier,[1962?],1962-01-01,1962-12-31,,,"22 cm: 95 p., ill. et cartes (certaines en coul.)",,Comprend des résumés,Français,"Paris, FR",Système français,8e année (France),
00000012,Géographie : 5e année : ma province,,,Éditions des Frères Maristes,1954,1954-01-01,1954-12-31,1954-02-11,2e éd.,"25 cm: 118 p., ill. et graph. en coul.",,"Sur la p. de t. : Cours de géographie des frères Maristes, enseignement primaire et secondaire",Français,"Saint-Vincent-de-Paul, QC",Primaire,5e année,
00000013,Géographie : 6e et 7e années,,,Éditions des Frères Maristes,1962,1962-01-01,1962-12-31,1962-03-15,2e édition,"25 cm: 160 p., ill., graph. et cartes (certaines en coul.)",,"Sur la p. de t. : Cours de géographie des frères Maristes, enseignement primaire et secondaire",Français,"Saint-Vincent-de-Paul, QC",Primaire|Intermédiaire,6e et 7e année,
00000014,Géographie : 6e et 7e années,,,Éditions des Frères Maristes,1963,1963-01-01,1963-12-31,,3e éd.,"25 cm: 160 p., ill., graph. et cartes (certaines en coul.)",,"Sur la p. de t. : Cours de géographie des frères Maristes, enseignement primaire et secondaire",Français,"Saint-Vincent-de-Paul, QC",Primaire|Intermédiaire,6e et 7e année,
00000015,Cahier de géographie : 6e et 7e années,,,Éditions des Frères Maristes,[1962?]-[1963?],1962-01-01,1963-12-31,,,"25 cm: 144 p., graph. et cartes",,,Français,"Saint-Vincent-de-Paul, QC",Primaire|Intermédiaire,6e et 7e année,
00000016,Géographie : l'Europe et l'Asie,"JOSSE, R.|JOURNAUX, A.",André Journaux,Hatier,[1960?],1960-01-01,1960-12-31,,,"22 cm: 308 p., ill., graph. et cartes en coul.",,Comprend des résumés,Français,"Paris, FR",Secondaire,10e année,
00000017,Nouveau cours de géographie pour l'enseignement du second degré : classe de quatrième,"LENTACKER, F.|OZOUF, M.|MOREAU, J.-P.",,Fernand Nathan,1957,1957-01-01,1957-12-31,,,"20 cm: 319 p., ill. et cartes pliés",,Comprend des résumés,Français,"Paris, FR",Système français,4e année (France),
00000018,La Chasse aux phoques,"MERCER, M. C.|BLACKWOOD, David|WONG, Lin",,Pêches et Environnement Canada,[1977?],1977-01-01,1977-12-31,,,"25 cm: 26 p., ill. et carte en coul.",ISBN 0-662-005279,Comprend un glossaire. -- Cat. no.: FS 99-16/1977 F,Français,"Ottawa, ON",,,
00000019,Nouveau cours de géographie pour l'enseignement du second degré : classe de première des lycées et collèges,"MOREAU, J.-P.|PASQUIER, Y.",,Fernand Nathan,1957,1957-01-01,1957-12-31,,,"20 cm: 511 p., ill. et cartes pliées (certaines en coul.)",,,Français,"Paris, FR",Système français,1ère année (France),
00000020,Nouveau cours de géographie pour l'enseignement du second degré : classe de troisième des lycées et collèges,"MOREAU, J.-P.|LENTACKER, F.",,Fernand Nathan,1957,1957-01-01,1957-12-31,,,"20 cm: 319 p., ill. et cartes pliées (certaines en coul.)",,Comprend des résumés,Français,"Paris, FR",Système français,3e année (France),
00000021,Géographie,"OZOUF, M.|PINCHEMEL, Ph.",,Fernand Nathan,[1961?],1961-01-01,1961-12-31,,,"20 cm: 319 p., ill., graph. et cartes pliées (certaines en coul.)",,Comprend un lexique,Français,"Paris, FR",Système français,2e année (France),
00000022,Géographie,"PASDELOUP, B.|GAY, F.",André Journaux,Hatier,[1962?],1962-01-01,1962-12-31,,,"22 cm: 224 p., ill. et cartes en coul.",,Comprend des résumés,Français,"Paris, FR",Système français,9e année (France),
00000023,Nouveau cours de géographie pour l'enseignement du second degré : classe de cinquième,"PINCHEMEL, Ph.|OZOUF, M.",,Fernand Nathan,1956,1956-01-01,1956-12-31,,,"22 cm: 303 p., ill. et carte pliée en coul.",,Comprend des résumés. -- Comprend un vocabulaire à la fin de l'ouvrage,Français,"Paris, FR",Système français,5e année (France),
00000024,Mon milieu et ma région,"RACINE, Jean-Bernard|POULIN, André",Je fais ma géographie ; 1,Éditions des frères Maristes,[1970?],1970-01-01,1970-12-31,,2e éd.,"26 cm: 55 p., ill., graph. et cartes en coul.",,Comprend des résumés. -- Comprend un lexique à la fin de l'ouvrage,Français,"Saint-Vincent-de-Paul, QC",Primaire,4e année,
00000025,Ma région et ma province,"GEOFFROY, Jacques|SAUVAGEAU, Roger|RACINE, Jean-Bernard|POULIN, André",Je fais ma géographie ; 2,Éditions des frères Maristes,[1970?],1970-01-01,1970-12-31,,,"26 cm: 110 p., ill., graph. et cartes en coul.",,Comprend des résumés. -- Comprend un lexique à la fin de l'ouvrage,Français,"Saint-Vincent-de-Paul, QC",Primaire,5e année,
00000026,Le Canada et ses voisins,"SEIVERIGHT, Dorothy|LLOYD, Trevor",,Ginn and company,[1967?],1967-01-01,1967-12-31,,Éd. rev.,"26 cm: vi, 250 p., ill. et cartes (certaines en coul.)",,Comprend un index,Français,"Toronto, ON",,,
00000027,Le Canada et ses voisins,"TAYLOR, Griffith|SEIVERIGHT, Dorothy|LLOYD, Trevor|LEJEUNE, J.-Theodule",,Ginn and company,[19--?],1899-12-31,1999-12-31,,,"26 cm: viii, 248 p., ill. et cartes (certaines en coul.)",,Comprend un index,Français,"Toronto, ON",,,
00000028,Ma province et mon pays,"GEOFFROY, Jacques|RACINE, Jean-Bernard|POULIN, André",Je fais ma géographie ; 3,Éditions des frères Maristes,[1970?],1970-01-01,1970-12-31,,,"26cm: 124 p., ill., graph. et cartes en coul.",,Comprend des résumés. -- Comprend un lexique à la fin de l'ouvrage,Français,"Saint-Vincent-de-Paul, QC",Primaire,6e année,
00000029,Géographie générale : classe de seconde,"ALLIX, Jean-Pierre|DACIER, Gérard",Nouvelle collection Max Derruau,Masson et co.,[1970?],1970-01-01,1970-12-31,,,"20 cm: 327 p., ill., graph. et cartes (certaines en coul.)",,,Français,"Paris, FR",Système français,2e année (France),
00000030,La Vie des hommes,"BELLEROSE, Yvonne|GUERTIN, Marc-Aimé|LEFEBVRE, André",Jeu de la vie,Guérin,1972,1972-01-01,1972-12-31,,,"29 cm: env. 56 p., ill. en coul.",,L'ouvrage est un livret pédagogique,Français,"Montréal, QC",Primaire,2e année,
00000031,La Géographie par l'image,"LÉGARÉ, Jérôme",,Éditions des frères Maristes,1959,1959-01-01,1959-12-31,1959-05-20,1re édition,48 p.,,,Français,"Ottawa, ON",Primaire,3e année,
00000032,La Géographie par l'image,"LÉGARÉ, Jérôme",,Éditions des frères Maristes,1959,1959-01-01,1959-12-31,1959-05-20,1re éd.,39 p.,,,Français,"Ottawa, ON",Primaire,1ère année,
00000033,Géographie générale,"GOUROU, P.|PAPY, L.|HUETZ DE LEMPS, A.|LASSERRE, G.|VIERS, G.",,Hachette,[1961?],1961-01-01,1961-12-31,,,"25 cm: 285 p., ill., graph. et cartes en coul.",,"Comprend un index. -- Sur la couv. : Cours de géographie, 2e",Français,"Paris, FR",Système français,2e année (France),
00000034,Géographie générale,"GOUROU, P.|PAPY, L.|HUETZ DE LEMPS, A.|LASSERRE, G.|VIERS, G.",,Hachette,[1966?],1966-01-01,1966-12-31,,Nouv. éd.,"25 cm: 303 p., ill., graph. et cartes en coul.",,"Comprend un index. -- Sur la couv. : Cours de géographie, 2e",Français,"Paris, FR",Système français,2e (France),
00000035,Initiation aux méthodes statistiques en géographie,"Groupe Chadule|CHAMUSSY, Henry",Géographie,Masson et co.,1974,1974-01-01,1974-12-31,,,"24 cm: 191 p., graph. et tabl.",ISBN 2-225-40216-7,Comprend un annexe et un index à la fin de l'ouvrage. -- Comprend des bibliogr. à la fin des chapitres,Français,"Paris, FR",,,
00000036,Histoire Géographie : programme 1977,"BEAUTIER, F.|VINCENT, Marc",,Bordas,[1977?],1977-01-01,1977-12-31,,,"25 cm: 240 p., ill. et cartes en coul.",ISBN 2-04007166-0,Comprend un dictionnaire et un lexique,Français,"Paris, FR",Système français,6e année (France),
00000037,Un Ranch en Alberta,"DE LEEUW, Gary|SABBE, Jules-Ernest|MOORE, Evelyn",,"Holt, Rinehart and Winston Limited",[1969?],1969-01-01,1969-12-31,,,"23 cm: 87 p., ill., graph. et cartes (certaines en coul.)",,Sous-titre : étude d'un ranch des montagnes rocheuses canadiennes : méthode inductive,Français,"Montréal, QC|Toronto, ON",,,
00000038,L'Invitation au voyage : récits et poèmes choisis,"MAREFUL, André|BERGERON, Colette|HISBERGUE, A.|JOUIN, Michel|MOYNE, Michel|LE BAS, Michèle",Méthode dynamique de lecture et de français,Éducation nouvelle; Librairie Istra,[1969?],1969-01-01,1969-12-31,,,"26 cm: 231 p., ill. en coul.",ISBN 0-7769-4068-6,Comprend un lexique,Français,"Montréal, QC|France",Primaire,5e année,
00000039,A la découverte du monde : récits et poèmes choisis,"MAREFUL, André|BERGERON, Colette|HISBERGUE, A.|DE SAINTE-CROIX, G.|MOYNE, Michel",Méthode dynamique de lecture et de français,Éducation nouvelle; Librairie Istra,[1970?],1970-01-01,1970-12-31,,,"26 cm: 254 p., ill. en coul.",ISBN 0-7769-4068-6,Comprend un lexique,Français,"Montréal, QC|France",Primaire,6e année,
00000040,Ma province mon pays : cahier d'exercices,"POULIN, André|RACINE, Jean-Bernard",Je fais ma géographie ; 3,Éditions des frères Maristes,[1970?],1970-01-01,1970-12-31,,Nouv. éd.,"28 cm: 63 p., ill. et cartes",ISBN 88519-008-4,Cahier d'exercice d'un ouvrage du même nom,Français,"Saint-Vincent-de-Paul, QC",Primaire,6e année,
00000041,Ma région et ma province : cahier d'exercices,"POULIN, André|RACINE, Jean-Bernard",Je fais ma géographie ; 2,Éditions des frères Maristes,[1970?],1970-01-01,1970-12-31,,Nouv. éd.,"28 cm: 64 p., ill. et cartes",,Cahier d'exercice d'un ouvrage du même nom,Français,"Saint-Vincent-de-Paul, QC",Primaire,5e année,
00000042,Mon milieu et ma région : cahier d'exercices,"POULIN, André|RACINE, Jean-Bernard",Je fais ma géographie ; 1,Éditions des frères Maristes,[1970?],1970-01-01,1970-12-31,,2e éd.,"28 cm: 62 p., ill. et cartes",,Cahier d'exercice d'un ouvrage du même nom,Français,"Saint-Vincent-de-Paul, QC",Primaire,4e année,
00000043,Quinze Études choisies de géographie régionale,"SWATRIDGE, Léonard A.|DE MEULEMEESTER, Edmond|TANGUAY, Jean",,McGraw-Hill Ryerson Limited,[1978?],1978-01-01,1978-12-31,,Éd. rev.,"24 cm: ix, 422 p., ill., graph. et cartes (certaines en coul.)",ISBN 0-07-082827-X,Trad. de : Selected Studies in World Geography. -- Comprend une bibliogr. et un index,Français,"Toronto, ON|Montréal, QC",,,
00000044,Atlas historique du Canada français : des origines à 1867,"TRUDEL, Marcel",,Les presses de l'Université Laval,1961,1961-01-01,1961-12-31,,Éd. remaniée,"28 cm: 93 p., cartes (certaines pliées)",,Comprend un index,Français,"Laval, QC",,,
00000045,Ma première géographie en couleurs,"VALETTE, Paul|LECHAUSSÉE, Bernard|MOREAU, S.",,Fernand Nathan,[1957?],1957-01-01,1957-12-31,,,"25 cm: 63 p., ill. et graph. en coul.",,,Français,"Paris, FR",Système français,"1ère ou 10e année, primaire (France)",
00000046,Villes et Villages du monde,"GIRT, Hilary|World Communities|MONTEL, Suzanne|PLAIN, Elizabeth|CLARK, Brenda",,Ginn and company,[1979?],1979-01-01,1979-12-31,,,"26 cm: 279 p., ill., graph. et cartes (certaines en coul.)",ISBN 0-7702-0605-0,,Français,"Toronto, ON",,,
00000047,Croquis : problèmes et méthodes,"ALLIX, Jean-Pierre|ARCHAMBAULT, Michel",Géographie,Masson et Co.,1969,1969-01-01,1969-12-31,,,"24 cm: 113 p., cartes en coul.",,Sur la couv. : abrégés documents méthodes,Français,"Paris, FR",Système français,1er cycle (France),
00000048,Atlas moderne Larousse,"CURRAN, Donald|COQUERY, Michel|CLOZIER, René|REYNAUD-DULAURIER, Georges",,Librairie Larousse,[1969?],1969-01-01,1969-12-31,,,"30 cm: 144, 31 p., cartes en coul.",,Comprend un index à la fin de l'ouvrage : p. 1-31,Français,"Paris, FR",,,
00000049,Le Document géographique,"BARRÈRE, Pierre|CASSOU-MOUNAT, Micheline",Géographie,Masson et Co.,1972,1972-01-01,1972-12-31,,,"24 cm: 221 p., 8 p. de pl., graph. et cartes en coul.",ISBN 2-225-35630-0,,Français,"Paris, FR",,,
00000050,Chine,"BÉLAND, Claudette",,Association des enseignants franco-ontariens; Conseil scolaire d'Ottawa,[197-?],1970-01-01,1979-12-31,,,"28 cm + 1 transparent: env. 45 p., graph. et cartes",,Ouvrage imprimé seulement recto des pages. -- Sur la couv. : Eurasie : projet conjoint AEFO-CSO,Français,,,,
00000051,L'enseignement de la géographie,Commission de l'enseignement de la géographie de l'Union géographique internationale,Unesco : programmes et méthodes d'enseignement,Unesco,1966,1966-01-01,1966-12-31,,,"23 cm + 1 carte plié: 221, ill., graph. et cartes (certaines en coul.)",,Sur la p. de t. : préparé par la Commission de l'enseignement de la géographie de l'Union géographique internationale dans le cadre du Projet majeur relatif à l'appréciation mutuelle des valeurs culturelles de l'Orient et de l'Occident,Français,,,,
00000053,Géographie : classe de 5e : les poles - l'Amérique - l'Asie - l'Océanie,"FROMENT, Roland|BIENFAIT, Jean",Maurice Le Lannou,Bordas,[1962?],1962-01-01,1962-12-31,,,"23 cm: 260 p., ill., graph. et cartes en coul.",,,Français,"Paris, FR",Système français,5e année (France),
00000054,Géographie vivante 5e : les poles - l'Amérique - l'Asie - l'Océanie et travaux dirigés de géographie générale : programme 1969,"GAY, F.-J.",André Journaux,Hatier,[1970?],1970-01-01,1970-12-31,,,"23 cm: 191 p., ill., graph. et cartes en coul.",,Comprend un lexique. -- ISBN 2-218-01436-X,Français,"Paris, FR",Système français,5e année (France),
00000055,Le Québec : exercices : guide du maître,"GRENIER, Fernand|HAMELIN, Louis-Edmond",Géographie contemporaine/Hamelin-Grenier,Éditions du renouveau pédagogique inc.,[1976?],1976-01-01,1976-12-31,,,22 cm: 75 p.,,,Français,"Montréal, QC",Secondaire|Universitaire et Collégial,Secondaire; collégial,
00000056,Initiation à la géographie par les contrats de travail,"GROSMAIRE, Jean-Louis|GUÉRIN, Marc-Aimé",Jean-Louis Grosmaire,Guérin,[1974?],1974-01-01,1974-12-31,,,"20 x 24 cm: 298 p., ill. et cartes (certaines en coul.)",,,Français,"Montréal, QC",Secondaire,Secondaire 1,
00000057,L'Amérique du Nord,"KRUGER, R.|HILDEBRAND, W.|DULUDE, F.|MARLEAU, C.",,Éditions H.R.W. ltée.,[1977?],1977-01-01,1977-12-31,,,"26 cm: iv, 258 p., ill., graph. et cartes (certaines en coul.)",,Sur la p. de t. : version SI. -- Trad. et adap. de : North America Introducing the Continent. -- Comprend des statistiques et un index. -- ISBN 0-03-929339-4,Français,"Montréal, QC",,,
00000058,Le Québec : 5. Le Québec nordique,"HAMELIN, Louis-Edmond",Géographie contemporaine/Hamelin-Grenier,Éditions du renouveau pédagogique inc.,1968,1968-01-01,1968-12-31,,,"27 cm: 32 p., ill. et cartes (certaines en coul.)",,,Français,"Montréal, QC",Secondaire,Secondaire,
00000059,Le Canada,"LAFAY-HAMELIN, Colette|HAMELIN, Louis-Edmond",Géographie contemporaine/Hamelin-Grenier,Éditions du renouveau pédagogique inc.,[1971?],1971-01-01,1971-12-31,,,"28 cm: 128 p., ill., graph. et cartes en coul.",,,Français,"Ottawa, ON",Secondaire|Universitaire et Collégial,Secondaire; collégial,
00000060,Géographie : notions de géographie générale le continent africain,"PERNET, L.|PERPILLOU, A.",,Hachette,[1961?],1961-01-01,1961-12-31,,,"24 cm: 221 p., ill., graph et cartes (certaines en coul.)",,Comprend des statistiques,Français,"Paris, FR",Système français,6e année (France),
00000061,Géographie du monde contemporain,"PRÉVOT, Victor|TROUX, Albert",Cours de géographie V. Prévot,Librairie classique Eugène Belin,[1966?],1966-01-01,1966-12-31,,,"25 cm: 464 p., ill., graph et cartes (certaines en coul.)",,Comprend une filmographie. -- Sur la p. de t. : édition plus spécialement destinée aux sections littéraires. -- No d'éditeur 3425,Français,"Paris, FR",Système français,Classes terminales,
00000062,Rétrospective Canada,"CRUXTON, J.|WILSON, W. Douglas|ARCHAMBAULT, Maryel",,Oxford University Press,1981,1981-01-01,1981-12-31,,,"23 cm: 389 p., ill. et cartes (certaines en coul.)",,Comprend une bibliogr. et un index. -- ISBN 0-19-540367-3,Français,"Toronto, ON",,,
00000063,Histoire du Canada : cours supérieur,"FARLEY, Paul-Émile|LAMARCHE, Gustave",,Librairie des Clercs de Saint-Viateur,1945,1945-01-01,1945-12-31,1934-09-26,4e éd.,"22 cm: 551 p., ill. et cartes",,Comprend des tableaux et des index à la fin de l'ouvrage,Français,"Montréal, QC",Secondaire,Supérieur,
00000064,La Découverte du Canada : Jacques Cartier,"GROULX, Lionel",,Librairie Granger frères ltée.,[1934?],1934-01-01,1934-12-31,,,20 cm: 290 p.,,Comprend une bibliogr. et une table onomastique,Français,"Montréal, QC",,,
00000065,La Nouvelle-France,"HÉROUX, Denis|LAHAISE, Robert|VALLERAND, Noël",,Centre de psychologie et de pédagogie,1967,1967-01-01,1967-12-31,,,"25 cm: 249 p., ill. et cartes (certaines en coul.)",,"Comprend une bibliogr., des tables et un index",Français,"Montréal, QC",,,
00000066,Histoire du Canada (C.S.),,,Frères des écoles chrétiennes,1914,1914-01-01,1914-12-31,,,"23 cm: 634 p., ill. et cartes",,"Sur la p. de t. : soixante-neuf gravures, dont trente-trois portraits hors texte et trente et une cartes historiques. -- Comprend une appendice et des tables à la fin de l'ouvrage",Français,"Montréal, QC",Système français,Cycle supérieur,
00000067,Histoire du Canada : 8e et 9e années : mon pays,"LAVIOLETTE, Guy|CUVELIER, J.J.|BERNIER, J.",,Frères de l'instruction chrétienne,1954,1954-01-01,1954-12-31,1954-05-12,,"21 cm: 453 p., ill. et cartes en coul.",,Comprend une table analytique à la fin de l'ouvrage,Français,"La Prairie, QC",Intermédiaire|Secondaire,8e et 9e année,
00000068,Histoire du Canada : 6e et 7e année : l'épopée canadienne,"LAVIOLETTE, Guy|VINCENT-FUMET, Odette|BERNIER, J.",,Frères de l'instruction chrétienne,1954,1954-01-01,1954-12-31,1953-12-12,,"21 cm: 329 p., ill. et cartes en coul.",,Comprend une table analytique à la fin de l'ouvrage,Français,"La Prairie, QC",Primaire|Intermédiaire,6e et 7e année,
00000069,Histoire du Canada : 4e et 5e années : découvreurs et pionners,"LAVIOLETTE, Guy|VINCENT-FUMET, Odette",,Frères de l'instruction chrétienne,1958,1958-01-01,1958-12-31,1958-02-26,,"21 cm: 280 p., ill. et cartes en coul.",,,Français,"La Prairie, QC",Primaire,4e et 5e année,
00000070,Histoire du Canada : 4e année : à la découverte de notre pays,"LAVIOLETTE, Guy|VINCENT-FUMET, Odette",,Frères de l'instruction chrétienne,1951,1951-01-01,1951-12-31,1951-05-09,,"21 cm: 248 p., ill. et cartes en coul.",,Comprend une table analytique à la fin de l'ouvrage,Français,"La Prairie, QC",Primaire,4e année,
00000071,Histoire du Canada : mon troisième album : 3eme année,"LAVIOLETTE, Guy",,Frères de l'instruction chrétienne,1952,1952-01-01,1952-12-31,1952-12-03,,"22 cm: 95 p., ill. en coul.",,,Français,"La Prairie, QC",Primaire,3e année,
00000072,Histoire du Canada : mon second album : les français s'établissent au pays des indiens; Guide du maître,"LAVIOLETTE, Guy",,Frères de l'instruction chrétienne,1952,1952-01-01,1952-12-31,1952-02-19,,"22 cm: 64 p., ill. en coul.",,,Français,"La Prairie, QC",,,
00000073,"Paul de Chomedey, sieur de Maisonneuve (1612-1676) et les fondateurs de Ville-Marie","LAVIOLETTE, Guy|BOULANGER, Rolland",Gloires nationales ; 5,Apostolat de la presse,1953,1953-01-01,1953-12-31,,,"25 cm: 32 p., ill. en coul.",,Comprend une bibliogr. à la fin de l'ouvrage,Français,"Sherbrooke, QC",,,
00000074,Robert Cavalier de la Salle (1643-1687) : aventurier de génie,"LAVIOLETTE, Guy",Gloires nationales ; 13,Apostolat de la presse,1954,1954-01-01,1954-12-31,,2e éd.,"24 cm: 31 p., ill. en coul.",,,Français,"Montréal, QC|Sherbrooke, QC",,,
00000075,Samuel de Champlain (1567-1635) : fondateur et père de la patrie,"LAVIOLETTE, Guy|FRENIÈRE, Richard",Gloires nationales ; 3,Apostolat de la presse,1954,1954-01-01,1954-12-31,,2e éd.,"25 cm: 32 p., ill. en coul.",,,Français,"Montréal, QC|Sherbrooke, QC",,,
00000076,Mon devoir d'histoire du Canada : 5e année,,,Frères de l'instruction chrétienne,[19--?],1899-12-31,1999-12-31,,,"25 cm: 79 p., cartes",,Sur la couv. : les pionniers,Français,"La Prairie, QC",Primaire,5e année,
00000077,La Vie en Nouvelle France,"NEERING, Rosemary|GARROD, Stan|BIRCH, Daniel R.",Une nation en marche ; 9,Lidec inc.,[1978?],1978-01-01,1978-12-31,,,"28 cm: 64 p., ill. et cartes",,Comprend un vocabulaire à la fin de l'ouvrage. -- ISBN 2-7608-3021-7,Français,"Montréal, QC",,,
00000078,Trois-Rivières : 1535-1935,"TESSIER, Albert",Quatre siècles d'histoire,Le Nouvelliste,1935,1935-01-01,1935-12-31,,2e éd.,"25 cm: 199 p., ill.",,Comprend un appendice,Français,,,,
00000079,Histoire générale : des origines au XIIIe siècle,"BADOUX, E.|DÉGLON, R.",,Librairie Payot,1962,1962-01-01,1962-12-31,,,"24 cm: 295 p., ill. et cartes",,Comprend un lexique,Français,"Lausanne, CH",Système français,Secondaire (France),
00000080,Histoire du Canada pour tous : le régime français : tome 1,"BRUCHÉSI, Jean",Documents historiques,Éditions Albert Lévesque,1936,1936-01-01,1936-12-31,,,21 cm: 295 p.,,Comprend une bibliogr.,Français,"Montréal, QC",,,
00000081,Histoire générale : de 1789 à nos jours,"CHEVALLAZ, Georges-André",,Librairie Payot,1962,1962-01-01,1962-12-31,,2e éd.,"21 cm: 393 p., ill., graph et cartes",,Comprend un appendice,Français,"Lausanne, CH",Système français,Secondaire (France),
00000082,Rome et le Moyen-Age : jusqu'en 1328,"DAURON, M.|DEVISSE, J.|GENET, L.",Histoire Hatier,Hatier,[1964?],1964-01-01,1964-12-31,,,"22 cm: 256 p., ill. et cartes (certaines en coul.)",,Sur la couv. : programme 1963. -- Comprend un lexique,Français,"Paris, FR",Système français,5e année (France),
00000083,A la découverte de notre pays,,Histoire du Canada,Frères des écoles chrétiennes,1953,1953-01-01,1953-12-31,1951-05-09,,"25 cm: 215 p., ill. et cartes (certaines en coul.)",,Sur la couv. : 4e année,Français,"Montréal, QC",Primaire,4e année,
00000084,L'Épopée canadienne,,Histoire du Canada,Frères des écoles chrétiennes,1954,1954-01-01,1954-12-31,1953-12-16,,"25 cm: 264 p., ill. et cartes (certaines en coul.)",,Sur la couv. : 6e année,Français,"Montréal, QC",Primaire,6e année,
00000085,L'Épopée canadienne : guide du professeur,,Histoire du Canada,Lidec inc.,1961,1961-01-01,1961-12-31,1961-02-22,,25 cm: 96 p.,,Sur la couv. : Cahier d'exercices sur le manuel de 6e et 7e année. -- Comprend des tables à la fin de l'ouvrage,Français,"Montréal, QC",Primaire|Intermédiaire,6e et 7e année,
00000086,Histoire contemporaine : de 1789 à nos jours,"GAGNOL, P.","Cours d'histoire, édition abrégée",Librairie Ch. Poussielgue,1901,1901-01-01,1901-12-31,,2e éd.,"18 cm: 612 p., ill.",,Sur la p. de t. : rédigé conformément aux programmes officiels (enseignements classique et moderne). -- Comprend des résumés à la fin des chapitres,Français,"Paris, FR",,,
00000087,"Les Temps modernes : XVIe, XVIIe et XVIIIe siècles : le dix-septième siècle","GASCON, R.-F.",,Gigord,1959,1959-01-01,1959-12-31,,,"21 cm: 2e partie (436 p.), ill. et cartes",,Sur la p. de t. : deuxième partie. -- Comprend des tables à la fin de l'ouvrage,Français,"Paris, FR",Système français,3e année (France),
00000088,Histoire du Canada : tome II,,,Fides,[19--?],1899-12-31,1999-12-31,,,22 cm: t. 2 (211 p.),,"Sous-titre : Régime britannique : 1- Régime métropolitain (1760-1842). -- Sur la p. de t. : Synthèse publiées dans la revue ""Mes fiches""",Français,"Montréal, QC|Paris, FR",,,
